date,sp500,nasdaq,us_vix,move,hyg,lqd,dxy,us10y,crude,usdinr,sensex,nifty,india_vix
2008-04-02,1367.530029296875,2361.39990234375,23.43000030517578,146.1999969482422,31.333391189575195,51.89238357543945,72.26000213623047,3.5829999446868896,104.83000183105469,39.91999816894531,15750.400390625,4754.2001953125,33.619998931884766
2008-04-03,1369.31005859375,2363.300048828125,23.209999084472656,139.6999969482422,31.278215408325195,51.917137145996094,72.22000122070312,3.5910000801086426,103.83000183105469,39.88399887084961,15832.5498046875,4771.60009765625,36.68000030517578
2008-04-04,1370.4000244140625,2370.97998046875,22.450000762939453,140.1999969482422,31.39834213256836,52.546592712402344,72.0199966430664,3.4809999465942383,106.2300033569336,39.80500030517578,15343.1201171875,4647.0,36.93000030517578
2008-04-07,1372.5400390625,2364.830078125,22.420000076293945,132.89999389648438,31.648380279541016,52.6060676574707,72.19999694824219,3.555999994277954,109.08999633789062,39.87300109863281,15757.080078125,4761.2001953125,30.989999771118164
2008-04-08,1365.5400390625,2348.760009765625,22.360000610351562,128.1999969482422,31.755502700805664,52.41775894165039,72.2300033569336,3.558000087738037,108.5,39.82899856567383,15587.6201171875,4709.64990234375,31.399999618530273
2008-04-09,1354.489990234375,2322.1201171875,22.809999465942383,128.6999969482422,31.479515075683594,52.26404571533203,71.83000183105469,3.4660000801086426,110.87000274658203,39.81700134277344,15790.509765625,4747.0498046875,38.2400016784668
2008-04-10,1360.550048828125,2351.699951171875,21.979999542236328,127.80000305175781,31.593172073364258,52.31364822387695,72.12000274658203,3.5320000648498535,110.11000061035156,39.88999938964844,15695.099609375,4733.0,30.520000457763672
2008-04-11,1332.8299560546875,2290.239990234375,23.459999084472656,129.39999389648438,31.33989906311035,52.36322784423828,71.80999755859375,3.4709999561309814,110.13999938964844,39.775001525878906,15807.6396484375,4777.7998046875,33.83000183105469
2008-04-14,1328.3199462890625,2275.820068359375,23.81999969482422,127.4000015258789,31.450298309326172,52.04103088378906,71.87999725341797,3.503000020980835,111.76000213623047,39.86899948120117,15807.6396484375,4777.7998046875,33.83000183105469
2008-04-15,1334.4300537109375,2286.0400390625,22.780000686645508,129.89999389648438,31.447046279907227,51.93199920654297,72.0199966430664,3.569999933242798,113.79000091552734,39.86399841308594,16153.66015625,4879.64990234375,30.229999542236328
2008-04-16,1364.7099609375,2350.110107421875,20.530000686645508,144.0,31.58340072631836,51.63460922241211,71.41000366210938,3.696000099182129,114.93000030517578,39.82899856567383,16244.1904296875,4887.2998046875,27.940000534057617
2008-04-17,1365.56005859375,2341.830078125,20.3700008392334,149.6999969482422,31.615867614746094,51.7684440612793,71.68000030517578,3.7290000915527344,114.86000061035156,39.87200164794922,16481.19921875,4958.39990234375,27.100000381469727
